Ratio,Seed,Wall(s),Tput(img/s),AvgE2E,P50,P95,P99,LPR#,Drops,TotalFLOPs
9.9:0.1,0,148.5,0.674,36.31,21.52,109.73,112.18,64,1,32.8T
9.9:0.1,1,148.3,0.674,38.89,6.25,106.25,112.32,64,1,32.5T
9.9:0.1,2,330.1,0.303,73.87,59.71,290.10,295.04,1031,0,95.2T
9.9:0.1,3,328.6,0.304,64.83,6.51,288.64,291.26,1031,0,84.3T
9.9:0.1,4,151.4,0.660,42.12,38.66,112.06,112.69,61,1,33.4T
9.5:0.5,0,315.1,0.317,66.92,21.08,285.88,289.83,1026,4,32.2T
9.5:0.5,1,311.1,0.321,55.22,20.42,138.66,280.19,1021,4,41.1T
9.5:0.5,2,312.0,0.320,70.11,49.74,281.47,282.67,992,4,91.4T
9.5:0.5,3,313.0,0.319,48.44,4.83,279.31,280.75,1021,4,82.4T
9.5:0.5,4,554.3,0.180,65.71,35.00,163.67,516.15,1943,3,146.4T
9:1,0,583.4,0.171,96.53,36.17,545.53,548.36,1954,8,60.2T
9:1,1,563.9,0.177,69.61,5.89,306.73,518.08,1947,8,31.9T
9:1,2,560.3,0.178,104.06,54.82,522.03,523.92,1959,8,148.4T
9:1,3,585.9,0.171,95.23,12.52,533.86,538.51,1949,8,51.1T
9:1,4,571.4,0.175,76.15,38.49,297.79,534.95,1943,8,145.3T
